id,title,category,estimated_minutes,deadline,priority,dependencies 
T1,Fix login bug,backend,45,2025-09-22T11:30,5, 
T2,Add health endpoint,backend,30,2025-09-22T17:00,3, 
T3,Design user table,data,60,2025-09-23T12:00,4, 
T4,ETL mapping for sales,data,90,2025-09-22T16:00,4,T3 
T5,Hero banner adjustment,frontend,25,2025-09-25T18:00,2, 
T6,Config CI step,devops,40,2025-09-22T15:00,4, 
T7,Rate limiter PoC,backend,50,2025-09-23T10:00,3,T2|T6 
T8,Error budget dashboard,frontend,75,2025-09-24T17:00,3,T6 
T9,DB index review,data,35,2025-09-22T14:00,5,T3 
T10,Alert rules v1,devops,20,2025-09-22T13:00,4, 
T11,Refactor utils,backend,30,2025-09-26T17:30,1, 
T12,Investigate flaky test,backend,20,2025-09-22T12:30,4,T1
